control_before,year,month,block,total_lbs,total_value ,season
,2000,10,655,4270.7,25971.575,3
,2000,11,655,897.7,6184.575,3
,2000,12,655,780.5,5542.5,3
,2001,1,655,797.9,5698.275,3
,2001,2,655,516.5,3815.05,3
,2001,3,655,599.4,4563.1,3
,2000,10,656,538,3401.25,3
,2000,11,656,1282.7,8209.05,3
,2000,12,656,169,1117.125,3
,2001,1,656,147,1029,3
,2001,2,656,356,2595.75,3
,2001,3,656,78,585,3
,2000,12,660,663,4641,3
,2000,10,664,220,1902.5,3
,2001,2,664,104.7,801.3,3
,2000,10,665,4273.9,26192.175,3
,2000,11,665,4866.5,32126.73,3
,2000,12,665,1720.6,12238.2,3
,2001,1,665,1476.7,10417.15,3
,2001,2,665,295.3,2168.095,3
,2001,3,665,342.9,2551.5,3
,2001,3,666,113,847.5,3
,2001,1,669,150.1,1050.7,3
,2001,1,674,1031.5,7220.5,3
,2001,2,682,176,1277.76,3
,2000,10,683,960.8,6048.05,3
,2000,11,683,1318.4,9738.1,3
,2000,12,683,396.6,2878.7,3
,2001,1,683,640.5,4483.5,3
,2001,2,683,295,2016.5,3
,2001,3,683,98.6,690.2,3
,2000,10,686,313.5,1902.625,3
,2000,11,686,768.5,5076.25,3
,2000,12,686,360,2430,3
,2001,1,686,329.5,2306.5,3
,2001,2,686,279,1953,3
,2001,3,686,63,472.5,3
,2000,10,700,286,1716,3
,2001,1,701,369.1,2583.7,3
,2000,11,702,95.4,572.4,3
,2000,10,704,29.5,184.375,3
,2000,11,704,253.5,1890.5,3
,2000,12,704,321.4,2277.25,3
,2001,1,704,684,5065,3
,2001,2,704,100,800,3
,2000,10,705,281.4,1547.7,3
,2000,10,712,1206,7031.2,3
,2000,11,712,301,1956.5,3
,2000,12,712,688,4622.125,3
,2001,1,712,967.5,6788.875,3
,2001,2,712,484,3402.75,3
,2001,3,712,448,3360,3
,2001,2,714,14.25,95.5,3
,2001,3,714,8,52,3
,2001,2,717,3,19.5,3
,2000,10,718,1641.1,9722.85,3
,2000,11,718,146,1155.5,3
,2000,12,718,20.6,154.5,3
,2000,10,719,7663.33,45666.09,3
,2000,11,719,5583.06,34213.6225,3
,2000,12,719,4136.58,29052.63,3
,2001,1,719,9467.2,65807.115,3
,2001,2,719,3228.46,22677.195,3
,2001,3,719,2312.98,15752.425,3
,2000,10,726,119.4,955.2,3
,2000,10,732,48.55,279.1625,3
,2000,10,736,663.4,5334.864,3
,2000,10,739,443.1,2603.1625,3
,2000,11,739,417.95,2853.95,3
,2000,12,739,605.8,4340.3875,3
,2001,1,739,167.4,1154.1,3
,2001,2,739,99,693,3
,2001,3,739,50,344.5,3
,2000,10,740,560.4,4168.35,3
,2000,11,740,140.5,948.375,3
,2000,12,740,5,32.5,3
,2001,1,740,661.05,4334.225,3
,2001,2,740,484.5,3204,3
,2001,3,740,280.85,1932.05,3
,2001,1,742,65,438.75,3
,2000,11,744,169.8,1178.025,3
,2000,12,744,258.3,1808.1,3
,2001,1,744,100.7,704.9,3
,2000,12,745,277.8,2014.05,3
,2001,1,748,61,457.5,3
,2000,10,752,464.6,3410.07,3
,2000,11,752,5.3,29.15,3
,2000,12,752,50.6,354.2,3
,2001,1,752,24.8,173.6,3
,2000,11,754,32.1,224.7,3
,2000,12,754,102.9,746.025,3
,2001,1,754,80.5,583.625,3
,2001,2,754,53,397.5,3
,2000,12,755,142,923,3
,2000,10,756,3298.22,24606.09,3
,2000,11,756,3425.65,25208.575,3
,2000,12,756,1933.15,14519.562,3
